project_scale_index	budget_adequacy_ratio	schedule_pressure_index	team_capacity_index	team_experience_score	domain_familiarity_score	requirements_volatility	requirements_clarity_score	scope_complexity_index	stakeholder_alignment_score	change_request_intensity	process_maturity_score	sprint_discipline_score	decision_latency_index	risk_management_maturity	client_engagement_score	technical_complexity_index	integration_risk_index	automation_maturity_score	toolchain_reliability_score	legacy_dependency_index	regulatory_risk_index	domain_criticality_index	external_dependency_risk	time_to_market_pressure	resource_stability_index	risk_tolerance_index	overall_uncertainty_index	label
0.717185233	0.278710152	0.286983414	0.317564618	0.90307642	0.88330567	0.07541008	0.672286565	0.711544375	0.057206977	0.104898684	0.320426362	0.321147931	0.49050427	0.845284425	0.88214289	0.137401994	0.467594777	0.860746069	0.103903824	0.324318694	0.705431037	0.701338544	0.717435248	0.855990974	0.540755703	0.528433176	0.304308327	Waterfall
0.546052158	0.116681532	0.139591965	0.302301469	0.29520929	0.706764687	0.334484107	0.489873145	0.097644172	0.093629964	0.118158781	0.077116783	0.89135241	0.289339905	0.67225256	0.908920452	0.124022446	0.662645397	0.516590306	0.478092021	0.929574271	0.097632747	0.510249687	0.119897692	0.910375109	0.89970184	0.719873477	0.710803954	Hybrid
0.49910995	0.893317846	0.747932907	0.891268441	0.099228411	0.709840585	0.282271718	0.911029093	0.09059827	0.718446981	0.085182405	0.467290925	0.904652238	0.699166698	0.478564773	0.547451936	0.890461693	0.075281827	0.304931541	0.078868795	0.285898555	0.884957551	0.917070292	0.896457974	0.910941424	0.912647031	0.490072465	0.489061075	V-Model
0.715111926	0.493562207	0.491490318	0.90630165	0.925991694	0.706217672	0.869648582	0.283207799	0.112350191	0.067133566	0.905138638	0.132136588	0.310260554	0.318357815	0.65332448	0.868690157	0.724326839	0.692447412	0.922409427	0.679227301	0.302248654	0.92180647	0.522216844	0.869545621	0.306796548	0.904970605	0.290019954	0.89563733	Spiral
0.91085589	0.318114872	0.731751403	0.102810119	0.684822038	0.316287209		0.891229605	0.519056266	0.528402819	0.122225131	0.923485638	0.088150635	0.06741446	0.487529827	0.699986057	0.692094672	0.89999805	0.087178648	0.25987908	0.692005346	0.109965389	0.70039903	0.891937486	0.702740069	0.895548844	0.320644129	0.721493195	Hybrid
0.689572428		0.691263185	0.901001995	0.294304574	0.112389654	0.88756054	0.742559851	0.490470735	0.66830506	0.073009143	0.136844636	0.446578126	0.933576801	0.288532325	0.125631444	0.885795853	0.504304842	0.896001817	0.6642491	0.325945679	0.134883181	0.074814896	0.896111285	0.70640445	0.917667187	0.120532176	0.316252507	DevOps
0.337122761	0.708968663	0.503445388	0.298433891	0.696117682	0.476478554	0.894949148	0.912200313	0.887304613	0.113895623	0.486389418	0.893039043	0.707534639	0.084969001	0.278151568	0.681762117		0.486383129	0.272832961	0.493524037	0.102341643	0.143014694	0.72201952	0.117089072	0.898607963	0.524352904	0.499852034	0.683117166	Agile
0.468408881	0.67311889	0.695863238	0.109099007	0.901735032	0.68875423	0.097338141	0.708379912	0.68177847	0.299500539	0.122698335	0.916263593	0.294138711	0.733915293	0.310270363	0.704976265	0.704668344	0.484425707	0.081179005	0.105977254	0.079853052	0.897381834	0.876988209	0.297945153	0.675533902	0.450315472	0.275054681	0.486719303	V-Model
0.936196675	0.684550039	0.507534057	0.327813602	0.692978063	0.911319503	0.516513261	0.31093175	0.071682697	0.496933041	0.907001305	0.338413637	0.92768548	0.458070873	0.083060129	0.502910423	0.09804385	0.299252424	0.89617494	0.132592985	0.081901028	0.927538222	0.696420432	0.72298441	0.906607923	0.066345621	0.116990754	0.288864298	DevOps
0.53223795	0.724867077	0.718057807	0.471879146	0.126137712	0.493741288	0.076798763	0.664617407	0.298126501	0.31872922		0.91893661	0.907295685	0.706576712	0.506330298	0.515829467	0.72785025	0.112423249	0.30280247	0.700413842	0.067342807	0.870056514	0.083344865	0.684780642	0.693433136	0.096399249	0.692362768	0.915053884	V-Model
